sicil_no,ad,soyad,ad_soyad,email,dogum_tarihi,ise_giris_tarihi,birim,unvan,kategori,aktif,not
TST00001,Fatma,Sahin,Fatma Sahin,fatma.sahin.00001@example.gov.tr,1999-09-26,2010-09-14,Bilgi Teknolojileri,Grup Baskani,Deneme Sureli Personel,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00002,Elif,Arslan,Elif Arslan,elif.arslan.00002@example.gov.tr,1994-11-24,2026-06-07,Egitim ve Performans,Uzman,Teknik Personel,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00003,Zeynep,Ozkan,Zeynep Ozkan,zeynep.ozkan.00003@example.gov.tr,1989-09-23,2019-03-30,Idari Isler,Isci,Guvenlik,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00004,Mehmet,Demir,Mehmet Demir,mehmet.demir.00004@example.gov.tr,1991-09-19,2009-03-18,Egitim ve Performans,Teknik Personel,Temizlik,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00005,Ahmet,Aydin,Ahmet Aydin,ahmet.aydin.00005@example.gov.tr,1984-09-22,2017-06-02,Idari Isler,Memur,Guvenlik,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00006,Mustafa,Kilic,Mustafa Kilic,mustafa.kilic.00006@example.gov.tr,1991-02-26,2010-01-21,Idari Isler,Teknik Personel,Guvenlik,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00007,Ali,Kaya,Ali Kaya,ali.kaya.00007@example.gov.tr,1988-10-08,2021-07-27,Kurumsal Iletisim,Memur,Temizlik,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00008,Can,Celik,Can Celik,can.celik.00008@example.gov.tr,1986-02-27,2011-09-03,Egitim ve Performans,Grup Baskani,Teknik Personel,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00009,Deniz,Dogan,Deniz Dogan,deniz.dogan.00009@example.gov.tr,1972-03-21,2023-05-08,Personel ve Destek Hizmetleri,Teknik Personel,Idari Personel,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00010,Ayse,Yilmaz,Ayse Yilmaz,ayse.yilmaz.00010@example.gov.tr,1973-12-27,2014-10-10,Personel ve Destek Hizmetleri,Uzman,Idari Personel,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00011,Fatma,Sahin,Fatma Sahin,fatma.sahin.00011@example.gov.tr,1987-09-03,2022-07-20,Kurumsal Iletisim,Koordinator,Deneme Sureli Personel,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00012,Elif,Arslan,Elif Arslan,elif.arslan.00012@example.gov.tr,1988-01-26,2020-03-16,Egitim ve Performans,Uzman,Diger,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00013,Zeynep,Ozkan,Zeynep Ozkan,zeynep.ozkan.00013@example.gov.tr,1994-08-24,2022-11-22,Kurumsal Iletisim,Memur,Guvenlik,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00014,Mehmet,Demir,Mehmet Demir,mehmet.demir.00014@example.gov.tr,1973-05-09,2015-07-14,Bilgi Teknolojileri,Koordinator,Diger,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00015,Ahmet,Aydin,Ahmet Aydin,ahmet.aydin.00015@example.gov.tr,1995-11-02,2017-07-01,Idari Isler,Isci,Deneme Sureli Personel,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00016,Mustafa,Kilic,Mustafa Kilic,mustafa.kilic.00016@example.gov.tr,1993-09-17,2011-01-10,Idari Isler,Memur,Diger,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00017,Ali,Kaya,Ali Kaya,ali.kaya.00017@example.gov.tr,1995-02-20,2015-05-30,Idari Isler,Memur,Guvenlik,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00018,Can,Celik,Can Celik,can.celik.00018@example.gov.tr,1973-05-08,2014-01-22,Idari Isler,Koordinator,Idari Personel,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00019,Deniz,Dogan,Deniz Dogan,deniz.dogan.00019@example.gov.tr,1970-08-15,2015-02-10,Kurumsal Iletisim,Teknik Personel,Temizlik,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00020,Ayse,Yilmaz,Ayse Yilmaz,ayse.yilmaz.00020@example.gov.tr,1987-01-16,2015-02-05,Bilgi Teknolojileri,Koordinator,Deneme Sureli Personel,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00021,Fatma,Sahin,Fatma Sahin,fatma.sahin.00021@example.gov.tr,1998-01-18,2013-10-09,Personel ve Destek Hizmetleri,Koordinator,Guvenlik,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
TST00022,Elif,Arslan,Elif Arslan,elif.arslan.00022@example.gov.tr,1990-04-03,2013-10-12,Egitim ve Performans,Isci,Temizlik,1,SAHTE TEST VERISI - GERCEK PERSONEL VERISI DEGILDIR
